segment_id,level_rule_id,level,level_score,computed_at
SEG_000167,1,2,33.0,2026-02-16 01:31:59
SEG_000168,1,2,39.0,2026-02-16 01:31:59
SEG_000169,1,2,34.5,2026-02-16 01:31:59
SEG_000170,1,2,34.5,2026-02-16 01:31:59
SEG_000171,1,2,36.0,2026-02-16 01:31:59
SEG_000172,1,2,34.5,2026-02-16 01:31:59
SEG_000173,1,2,33.0,2026-02-16 01:31:59
SEG_000174,1,2,33.0,2026-02-16 01:31:59
SEG_000175,1,1,30.0,2026-02-16 01:31:59
SEG_000176,1,2,31.5,2026-02-16 01:31:59
SEG_000177,1,2,37.0,2026-02-16 01:31:59
SEG_000178,1,2,37.0,2026-02-16 01:31:59
SEG_000179,1,2,38.5,2026-02-16 01:31:59
SEG_000180,1,2,38.5,2026-02-16 01:31:59
SEG_000181,1,2,38.5,2026-02-16 01:31:59
SEG_000182,1,2,35.5,2026-02-16 01:31:59
SEG_000183,1,2,35.5,2026-02-16 01:31:59
SEG_000184,1,2,35.5,2026-02-16 01:31:59
SEG_000185,1,2,35.5,2026-02-16 01:31:59
SEG_000186,1,2,35.5,2026-02-16 01:31:59
SEG_000187,1,2,38.5,2026-02-16 01:31:59
SEG_000188,1,2,35.5,2026-02-16 01:31:59
SEG_000189,1,2,35.5,2026-02-16 01:31:59
SEG_000190,1,1,29.8,2026-02-16 01:31:59
SEG_000191,1,1,31.0,2026-02-16 01:31:59
SEG_000192,1,2,31.2,2026-02-16 01:31:59
SEG_000193,1,1,29.8,2026-02-16 01:31:59
SEG_000194,1,1,29.8,2026-02-16 01:31:59
SEG_000195,1,1,29.8,2026-02-16 01:31:59
SEG_000196,1,2,34.0,2026-02-16 01:31:59
SEG_000197,1,3,55.5,2026-02-16 01:31:59
SEG_000198,1,2,39.2,2026-02-16 01:31:59
SEG_000199,1,3,43.8,2026-02-16 01:31:59
SEG_000200,1,3,52.6,2026-02-16 01:31:59
SEG_000201,1,3,52.6,2026-02-16 01:31:59
SEG_000202,1,2,38.5,2026-02-16 01:31:59
SEG_000203,1,2,37.0,2026-02-16 01:31:59
SEG_000204,1,2,31.2,2026-02-16 01:31:59
SEG_000205,1,2,32.8,2026-02-16 01:31:59
SEG_000206,1,1,29.8,2026-02-16 01:31:59
SEG_000207,1,2,32.8,2026-02-16 01:31:59
SEG_000208,1,1,29.8,2026-02-16 01:31:59
SEG_000209,1,1,29.8,2026-02-16 01:31:59
SEG_000210,1,1,29.8,2026-02-16 01:31:59
SEG_000211,1,1,29.8,2026-02-16 01:31:59
SEG_000212,1,1,31.0,2026-02-16 01:31:59
SEG_000213,1,1,29.8,2026-02-16 01:31:59
SEG_000214,1,1,31.0,2026-02-16 01:31:59
SEG_000215,1,1,29.8,2026-02-16 01:31:59
SEG_000216,1,3,48.8,2026-02-16 01:31:59
SEG_000217,1,1,29.8,2026-02-16 01:31:59
SEG_000218,1,2,32.8,2026-02-16 01:31:59
SEG_000219,1,2,35.5,2026-02-16 01:31:59
SEG_000220,1,1,29.8,2026-02-16 01:31:59
SEG_000221,1,3,46.0,2026-02-16 01:31:59
SEG_000222,1,1,31.0,2026-02-16 01:31:59
SEG_000223,1,1,31.0,2026-02-16 01:31:59
SEG_000224,1,1,31.0,2026-02-16 01:31:59
SEG_000225,1,1,31.0,2026-02-16 01:31:59
SEG_000226,1,1,29.8,2026-02-16 01:31:59
SEG_000227,1,1,29.8,2026-02-16 01:31:59
SEG_000228,1,1,31.0,2026-02-16 01:31:59
SEG_000229,1,1,29.8,2026-02-16 01:31:59
SEG_000230,1,1,29.8,2026-02-16 01:31:59
SEG_000231,1,1,29.8,2026-02-16 01:31:59
SEG_000232,1,1,29.8,2026-02-16 01:31:59
SEG_000233,1,3,47.5,2026-02-16 01:31:59
SEG_000234,1,1,31.0,2026-02-16 01:31:59
SEG_000235,1,1,29.8,2026-02-16 01:31:59
SEG_000236,1,3,59.5,2026-02-16 01:31:59
SEG_000237,1,3,50.5,2026-02-16 01:31:59
SEG_000238,1,1,29.8,2026-02-16 01:31:59
SEG_000239,1,2,39.5,2026-02-16 01:31:59
SEG_000240,1,2,40.7,2026-02-16 01:31:59
SEG_000241,1,2,39.5,2026-02-16 01:31:59
SEG_000242,1,2,40.7,2026-02-16 01:31:59
SEG_000243,1,2,39.5,2026-02-16 01:31:59
SEG_000244,1,2,40.7,2026-02-16 01:31:59
SEG_000245,1,2,40.7,2026-02-16 01:31:59
SEG_000246,1,2,39.5,2026-02-16 01:31:59
SEG_000247,1,2,40.7,2026-02-16 01:31:59
SEG_000248,1,2,40.7,2026-02-16 01:31:59
SEG_000249,1,2,39.5,2026-02-16 01:31:59
SEG_000250,1,1,29.8,2026-02-16 01:31:59
SEG_000251,1,1,31.0,2026-02-16 01:31:59
SEG_000252,1,2,39.5,2026-02-16 01:31:59
SEG_000253,1,1,29.8,2026-02-16 01:31:59
SEG_000254,1,2,40.7,2026-02-16 01:31:59
SEG_000255,1,2,40.7,2026-02-16 01:31:59
SEG_000256,1,3,44.8,2026-02-16 01:31:59
SEG_000257,1,1,29.8,2026-02-16 01:31:59
