지점명,원본주소,검색쿼리,lat,lon,변환주소,검색방식,기준연도,사고건수,사망자수,중상자수,경상자수,다발도,심각도,통합지수,주요사고유형
개나리아파트앞교차로,[지]역삼동 806,서울 강남구 개나리아파트앞교차로,37.50255900235868,127.04279570309748,서울 강남구 역삼동 804,keyword,2024,35,0,9,34,4.47,5.5,5.09,차대차-기타
차병원사거리(서남서방향 231M),[지]논현동 279-198,서울 강남구 차병원사거리(서남서방향 231M),,,,failed,2024,34,0,6,41,4.2,5.5,4.98,차대차-기타
청담사거리,[지]청담동 77,서울 강남구 청담동 77,37.5240591100588,127.046173251056,서울 강남구 청담동 77,address,2024,31,0,11,29,4.23,5.47,4.97,차대차-기타
기독교TV,[지]대치동 890-57,서울 강남구 대치동 890-57,37.5037414333484,127.051702742395,서울 강남구 대치동 890-57,address,2024,37,0,8,31,4.23,4.97,4.67,차대사람-기타
신사역사거리,[지]신사동 501-5,서울 강남구 신사동 501-5,37.52024981401,127.029388621474,서울 강남구 신사동 501-5,address,2024,45,0,7,53,5.13,6.93,6.21,측면직각충돌
강남세브란스교차로,[지]역삼동 805,서울 강남구 역삼동 805,37.4928459975071,127.041974070667,서울 강남구 역삼동 805,address,2024,45,0,8,51,5.27,6.97,6.29,차대차-기타
경복아파트앞교차로,[지]논현동 279-110,서울 강남구 논현동 279-110,37.5115533084431,127.035968041416,서울 강남구 논현동 279-110,address,2024,45,0,10,49,5.5,7.23,6.54,측면직각충돌
구룡터널앞교차로,[지]개포동 647-9,서울 강남구 개포동 647-9,37.4752702595259,127.057659069175,서울 강남구 개포동 647-9,address,2024,51,0,7,69,5.47,8.53,7.31,측면직각충돌
양재전화국교차로,[지]도곡동 207,서울 강남구 도곡동 207,37.4857245085271,127.042517787926,서울 강남구 도곡동 207,address,2024,40,1,17,37,6.13,8.0,7.25,측면직각충돌
차병원사거리,[지]논현동 279-165,서울 강남구 논현동 279-165,37.5075032615456,127.034253976201,서울 강남구 논현동 279-165,address,2024,54,0,14,68,7.13,10.07,8.89,차대차-기타
교보타워사거리,[도]봉은사로 지하 102 신논현역,서울 강남구 봉은사로,37.5109207267775,127.046050466999,서울 강남구 봉은사로,address,2024,74,1,9,88,8.5,11.23,10.14,차대차-기타
코엑스앞교차로,[지]삼성동 111-8,서울 강남구 삼성동 111-8,37.5144631096533,127.060097689629,서울 강남구 삼성동 111-8,address,2024,56,0,9,77,6.43,9.8,8.45,측면직각충돌
대동빌딩앞삼성고객프(북북서방향 203M),[지]역삼동 858,서울 강남구 대동빌딩앞삼성고객프(북북서방향 203M),,,,failed,2023,38,0,5,42,4.47,5.37,5.01,차대차-기타
도곡1동주민센터입구교차로,[지]역삼동 805,서울 강남구 도곡1동주민센터입구교차로,37.49241974485125,127.04090716562668,서울 강남구 역삼동 805,keyword,2023,36,0,7,36,4.23,5.23,4.83,차대차-기타
도산공원사거리,[지]신사동 501-5,서울 강남구 신사동 501-5,37.52024981401,127.029388621474,서울 강남구 신사동 501-5,address,2023,36,0,11,43,4.43,6.87,5.89,측면직각충돌
매봉터널앞교차로,[지]도곡동 74-2,서울 강남구 도곡동 74-2,37.4884331261203,127.049659265367,서울 강남구 도곡동 74-2,address,2023,35,0,11,42,4.53,6.77,5.87,차대차-기타
국민연금관리공단(동북동방향 63M),[지]논현동 279,서울 강남구 국민연금관리공단(동북동방향 63M),,,,failed,2023,38,0,5,57,4.13,6.87,5.77,차대차-기타
역삼역앞교차로,[도]테헤란로 지하 156 역삼역,서울 강남구 테헤란로,37.504059366187,127.047486752713,서울 강남구 테헤란로,address,2023,45,0,4,53,4.93,6.23,5.71,차대차-기타
학동사거리,[지]청담동 77,서울 강남구 청담동 77,37.5240591100588,127.046173251056,서울 강남구 청담동 77,address,2023,42,0,7,47,4.47,6.33,5.59,측면직각충돌
뱅뱅사거리,[지]도곡동 958-2,서울 강남구 도곡동 958-2,37.4871976664509,127.032887971951,서울 강남구 도곡동 958-2,address,2023,44,0,11,49,5.4,7.47,6.64,차대차-기타
신논현역 사거리,신논현역 사거리,서울 강남구 신논현역 사거리,,,,failed,2022,62,1,8,85,6.93,10.7,9.19,추돌(진행중)
대치우성아파트 사거리,대치우성아파트 사거리,서울 강남구 대치우성아파트 사거리,,,,failed,2022,49,1,25,50,7.23,11.17,9.59,차대차-기타
을지병원 앞 사거리,을지병원 앞 사거리,서울 강남구 을지병원 앞 사거리,37.5139640251863,127.030910888541,서울 강남구 논현동,keyword,2022,56,0,15,59,7.0,9.4,8.44,측면직각충돌
양재전화국입구,양재전화국입구,서울 강남구 양재전화국입구,,,,failed,2022,57,1,12,70,6.73,10.13,8.77,측면직각충돌
신사역 오거리,신사역 오거리,서울 강남구 신사역 오거리,,,,failed,2022,56,0,6,69,6.0,8.3,7.38,추돌(진행중)
영동세브란스(강남세브란스),영동세브란스(강남세브란스),서울 강남구 영동세브란스(강남세브란스),37.4942340048435,127.046756700214,서울 강남구 역삼동,keyword,2022,49,0,14,49,6.23,8.17,7.39,측면직각충돌
학동역사거리,학동역사거리,서울 강남구 학동역사거리,37.5139640251863,127.030910888541,서울 강남구 논현동,keyword,2022,46,0,13,43,6.23,7.33,6.89,차대차-기타
경복아파트 앞 사거리,경복아파트 앞 사거리,서울 강남구 경복아파트 앞 사거리,37.5139640251863,127.030910888541,서울 강남구 논현동,keyword,2022,51,0,11,52,6.37,7.77,7.21,차대차-기타
현대백화점 앞(무역센터점 남서),현대백화점 앞(무역센터점 남서),서울 강남구 현대백화점 앞(무역센터점 남서),,,,failed,2022,55,0,5,70,5.83,8.17,7.23,차대차-기타
성수대교 남단 사거리,성수대교 남단 사거리,서울 강남구 성수대교 남단 사거리,,,,failed,2022,48,0,8,56,5.53,7.47,6.69,차대차-기타
삼성역사거리(4번출구),삼성역사거리(4번출구),서울 강남구 삼성역사거리(4번출구),,,,failed,2022,36,0,16,41,4.97,7.83,6.69,정면충돌
도곡1동 아이파크 앞(101동 북서),도곡1동 아이파크 앞(101동 북서),서울 강남구 도곡1동 아이파크 앞(101동 북서),,,,failed,2022,46,0,6,54,5.3,6.8,6.2,차대차-기타
하나저축은행 강남지점(남쪽),하나저축은행 강남지점(남쪽),서울 강남구 하나저축은행 강남지점(남쪽),,,,failed,2022,39,1,7,52,4.63,7.17,6.15,차대차-기타
