segment_id,original_way_id,road_name,highway_type,lanes,width,maxspeed,start_lat,start_lon,end_lat,end_lon,center_lat,center_lon,num_points,coordinates_json
SEG_000148,46653296,도산대로,service,,,,37.5232994,127.0405638,37.5225746,127.0406891,37.5230114,127.04061353333333,3,"[[127.0405638, 37.5232994], [127.0405877, 37.5231602], [127.0406891, 37.5225746]]"
SEG_000149,46653297,도산대로66길,residential,,,,37.5191735,127.043357,37.5230403,127.0444112,37.52087834,127.04383591999999,10,"[[127.043357, 37.5191735], [127.04347, 37.5195759], [127.0435805, 37.5199707], [127.0436855, 37.5203642], [127.0437536, 37.5205835], [127.0438899, 37.5210555], [127.0439147, 37.5211334], [127.0440373, 37.5215394], [127.0442595, 37.522347], [127.0444112, 37.5230403]]"
SEG_000150,46653298,도산대로68길,service,,,,37.5205035,127.0441891,37.521462,127.0444751,37.52098,127.04432876666665,3,"[[127.0441891, 37.5205035], [127.0443221, 37.5209745], [127.0444751, 37.521462]]"
SEG_000151,46653299,도산대로68길,residential,,,,37.5214699,127.0444316,37.5238063,127.044659,37.5230250375,127.044687525,8,"[[127.0444316, 37.5214699], [127.0446414, 37.5222844], [127.0448241, 37.522998], [127.0448043, 37.5230928], [127.0447439, 37.5234168], [127.0447083, 37.523469], [127.0446876, 37.5236631], [127.044659, 37.5238063]]"
SEG_000152,46653300,도산대로70길,service,,,,37.5214136,127.0447679,37.5229327,127.045211,37.52219,127.04499416666665,3,"[[127.0447679, 37.5214136], [127.0450036, 37.5222237], [127.045211, 37.5229327]]"
SEG_000153,46653301,선릉로148길,residential,,,,37.521605,127.04363,37.5229915,127.0439906,37.522303825,127.043821275,4,"[[127.04363, 37.521605], [127.0438055, 37.5222104], [127.043859, 37.5224084], [127.0439906, 37.5229915]]"
SEG_000154,46653302,선릉로146길,residential,,,,37.5218369,127.0420981,37.5227786,127.0423478,37.522307749999996,127.04222295,2,"[[127.0420981, 37.5218369], [127.0423478, 37.5227786]]"
SEG_000155,46653303,이름없음,service,,,,37.5222237,127.0450036,37.5224084,127.043859,37.522315875000004,127.04444087499999,4,"[[127.0450036, 37.5222237], [127.0446414, 37.5222844], [127.0442595, 37.522347], [127.043859, 37.5224084]]"
SEG_000156,46653304,도산대로58길,residential,,,,37.5219623,127.0413551,37.5233976,127.0413649,37.52279757,127.04144515,10,"[[127.0413551, 37.5219623], [127.0414229, 37.5222156], [127.0415124, 37.5226173], [127.0415103, 37.5226773], [127.0414857, 37.5228325], [127.0414929, 37.5229141], [127.0414709, 37.5230155], [127.0414376, 37.5230985], [127.0413988, 37.523245], [127.0413649, 37.5233976]]"
SEG_000157,46653305,도산대로56길,residential,,,,37.5218453,127.0404834,37.5232289,127.039994,37.5226793,127.040196475,4,"[[127.0404834, 37.5218453], [127.0402675, 37.5225331], [127.040041, 37.5231099], [127.039994, 37.5232289]]"
