node_id,lat,lon,type,name,crossing
9891988104,37.5167014,127.0204044,crossing,,
9892111591,37.5138198,127.0203219,crossing,,
9892111592,37.5137937,127.0201823,crossing,,
9892111593,37.5137685,127.0200523,crossing,,
9892111597,37.5126369,127.0203533,crossing,,
9892967413,37.5209006,127.0271444,crossing,,
9893039423,37.5178759,127.029092,crossing,,
9893039426,37.5189298,127.0285867,crossing,,
9893039431,37.5198201,127.0291157,crossing,,
9893039437,37.515703,127.0298355,crossing,,
9893039441,37.5167649,127.0293207,crossing,,
9893039444,37.5179274,127.0287766,crossing,,
9893039448,37.5188435,127.0283559,crossing,,
9893039457,37.5124712,127.0223498,crossing,,
9893039458,37.512361,127.0224024,crossing,,
9893039459,37.5140057,127.0283008,crossing,,
9893039460,37.5151398,127.0277715,crossing,,
9893039461,37.5150341,127.0278248,crossing,,
9893039462,37.514101,127.0282559,crossing,,
9893039463,37.5140228,127.0281966,crossing,,
9893039464,37.514065,127.0283375,crossing,,
9893039474,37.5131949,127.0286791,crossing,,
9893039475,37.5130122,127.0279916,crossing,,
9893039476,37.5126968,127.0269659,crossing,,
9893039477,37.5122835,127.0256084,crossing,,
9893039482,37.5134677,127.0285602,crossing,,
9893039485,37.5132996,127.0280937,crossing,,
9893039488,37.5131594,127.0276256,crossing,,
9893039491,37.5129031,127.0267849,crossing,,
9893039494,37.5126408,127.0259417,crossing,,
9893039498,37.5123856,127.0251324,crossing,,
9893039500,37.5146339,127.0202382,crossing,,
9893039501,37.5137386,127.0204963,crossing,,
9893039502,37.5128812,127.0207629,crossing,,
9893039503,37.5120277,127.0211772,crossing,,
9893039518,37.5176795,127.0230673,crossing,,uncontrolled
9893039519,37.5175231,127.0231717,crossing,,uncontrolled
9893039520,37.5174549,127.0232172,crossing,,traffic_signals
9893039521,37.5187049,127.0262274,crossing,,traffic_signals
9893039522,37.5193032,127.0276928,crossing,,
9893039523,37.5191424,127.0273004,crossing,,
9893039524,37.518767,127.0263812,crossing,,uncontrolled
9893039525,37.5183646,127.025413,crossing,,
9893039526,37.517901,127.0243039,crossing,,uncontrolled
9893039527,37.5173609,127.0230038,crossing,,uncontrolled
9922938491,37.5166146,127.0398463,crossing,,
9922938492,37.5166678,127.0389733,crossing,,
9922938493,37.515168,127.0372431,crossing,,
9922938494,37.5152419,127.0371737,crossing,,
9922938495,37.5158044,127.037123,crossing,,
9922938500,37.5131014,127.0355181,crossing,,
9922938501,37.5130893,127.0353491,crossing,,
9922938502,37.5143159,127.034383,crossing,,
9922938503,37.5143927,127.0344497,crossing,,
9922938504,37.5145481,127.0351721,crossing,,
9922938505,37.5146762,127.0356036,crossing,,
9922938506,37.5140171,127.0334123,crossing,,
9922938507,37.5139834,127.0333053,crossing,,
9922938508,37.5140816,127.0333361,crossing,,
9922938509,37.5148251,127.0329638,crossing,,
9922938510,37.5145529,127.033101,crossing,,
9922938511,37.5155234,127.0300411,crossing,,
9922938512,37.5147269,127.030562,crossing,,
9922938513,37.5146394,127.0302765,crossing,,
9922938514,37.5137387,127.0308781,crossing,,
9922938515,37.5141169,127.030712,crossing,,
9950412725,37.485214,127.0294518,crossing,,
9963686463,37.4922883,127.0546213,crossing,,
9963686464,37.4923543,127.0545913,crossing,,
9963686465,37.4924304,127.0545567,crossing,,
9965546314,37.4740536,127.033106,crossing,,
9965554523,37.4738248,127.0309034,crossing,,
9990175982,37.4886319,127.0281803,crossing,,marked
9990175986,37.4881719,127.0266816,crossing,,marked
9990177419,37.4894781,127.0276392,crossing,,marked
9990177435,37.4895134,127.0276227,crossing,,marked
9990177462,37.4894049,127.0278069,crossing,,marked
9990177492,37.4881402,127.0265834,crossing,,marked
9990177494,37.4881592,127.0265742,crossing,,marked
10015167771,37.5383505,127.0438962,crossing,,marked
10015167772,37.5378914,127.0455573,crossing,,marked
10147169339,37.5281851,127.0889809,crossing,,traffic_signals
10181047535,37.5100893,127.078683,crossing,,marked
10181047536,37.5101098,127.0788416,crossing,,marked
10181047539,37.5087375,127.079009,crossing,,marked
10181047540,37.5087644,127.0791879,crossing,,marked
10206893823,37.470169,127.0390519,crossing,,traffic_signals
10215550333,37.5061739,127.08123,crossing,,marked
10215550334,37.5062702,127.0812745,crossing,,marked
10215550347,37.5056625,127.0830062,crossing,,marked
10215550348,37.5057576,127.0830509,crossing,,marked
10220955576,37.496921,127.0244394,crossing,,uncontrolled
10220955581,37.4960372,127.0215872,crossing,,
10220955585,37.4968077,127.0240724,crossing,,uncontrolled
10236589274,37.5395923,127.0577606,crossing,,uncontrolled
10725464403,37.5108369,127.0705778,crossing,,marked
10725472005,37.5155583,127.0698101,crossing,,marked
10725472019,37.5132715,127.0701793,crossing,,uncontrolled
10725472020,37.5132809,127.0702594,crossing,,uncontrolled
10725472032,37.5103744,127.0706642,crossing,,marked
10779115899,37.4839253,127.0298443,traffic_signals,서초구청사거리,
10829592346,37.5379207,127.0770962,crossing,,traffic_signals
10829592355,37.5381129,127.0772999,crossing,,traffic_signals
10829592360,37.5380027,127.0772607,crossing,,traffic_signals
10855673144,37.5021869,127.0969631,crossing,,traffic_signals
10855673145,37.5023842,127.0967585,crossing,,traffic_signals
10855673146,37.502496,127.0967584,crossing,,traffic_signals
10855673147,37.5023805,127.0972815,crossing,,traffic_signals
10855673148,37.5024964,127.0972815,crossing,,traffic_signals
10855673149,37.5027744,127.0970097,crossing,,traffic_signals
10855673151,37.5024928,127.0969868,traffic_signals,,
10956624197,37.5113404,127.0735955,crossing,,uncontrolled
10967997292,37.5197201,127.0281959,traffic_signals,,
10967997293,37.5196802,127.0280801,traffic_signals,,
10967997803,37.5399326,127.0705849,traffic_signals,,
10967997804,37.5398961,127.070702,traffic_signals,,
10968031011,37.5215051,127.0337528,traffic_signals,,
10968031012,37.5215592,127.0339483,traffic_signals,,
10980505323,37.4934459,127.025875,traffic_signals,,
11027615842,37.5285774,127.0408364,crossing,,
11027615843,37.5291655,127.0357758,crossing,,
11027615844,37.5290658,127.0410171,crossing,,
11027615845,37.5302837,127.0414282,crossing,,
11027615846,37.5306441,127.04155,crossing,,
11027615847,37.5294198,127.0352883,crossing,,
11027615848,37.5296181,127.0353796,crossing,,
11027615849,37.5298868,127.0355032,crossing,,
11027615850,37.5304061,127.0357458,crossing,,
11027615851,37.53088,127.0359583,crossing,,
11027615852,37.5314164,127.0361758,crossing,,
11027615853,37.5318897,127.0363599,crossing,,
11027615856,37.5317924,127.0258938,crossing,,
11027615857,37.5308186,127.0276182,crossing,,
11027615858,37.5302111,127.0275576,crossing,,
11027615859,37.529815,127.0279051,crossing,,
11027615860,37.5292761,127.0280706,crossing,,
11027615861,37.5287694,127.0282263,crossing,,
11027615862,37.5282483,127.0283874,crossing,,
11027615863,37.5262601,127.0261052,crossing,,
11034183378,37.5025005,127.0251855,crossing,,uncontrolled
11034183379,37.5034404,127.0246877,crossing,,uncontrolled
11034387027,37.4979888,127.0277003,traffic_signals,,
11034387028,37.4979253,127.0275016,traffic_signals,,
11069243726,37.5161965,127.098281,crossing,,uncontrolled
11073665061,37.5174803,127.0228168,traffic_signals,,
11076288632,37.5363987,127.0835873,crossing,,traffic_signals
11076288634,37.5365449,127.0833663,traffic_signals,,traffic_signals
11076288637,37.5367661,127.0834778,traffic_signals,,traffic_signals
11076288640,37.5362289,127.0838994,crossing,,
11076288652,37.5345997,127.0843971,crossing,,traffic_signals
11076288653,37.5345643,127.0842609,crossing,,traffic_signals
11076288656,37.5334544,127.084693,crossing,,traffic_signals
11076288675,37.5325327,127.0855665,crossing,,traffic_signals
11076288679,37.5318483,127.0860945,crossing,,unmarked
11076288682,37.5311985,127.0865933,crossing,,uncontrolled
11083667700,37.5111721,127.0213861,traffic_signals,,
11083667701,37.5111077,127.0211737,traffic_signals,,
11087433181,37.5395084,127.072503,crossing,,zebra
