way_id,name,highway,lanes,width,maxspeed,oneway,surface,num_points,start_lat,start_lon,end_lat,end_lon
417638569,영동대로129길,residential,,,,no,,3,37.5177188,127.0543606,37.5173416,127.0549702
417638573,이름없음,service,,,,no,,2,37.5175276,127.0546731,37.5183633,127.0554803
417646244,학동로60길,residential,,,,no,,2,37.5156841,127.0443126,37.5162974,127.0441168
417646252,선릉로122길,residential,,,,no,,3,37.5152377,127.0424808,37.5143216,127.0423648
417646256,삼성로119길,residential,,,,yes,,2,37.5162779,127.0515537,37.5158703,127.0502092
417646272,선릉로115길,residential,,,,yes,,9,37.5123828,127.0430829,37.5113301,127.0392843
417646278,봉은사로67길,residential,,,,no,,4,37.5137584,127.047928,37.5119249,127.0494417
417646282,선릉로116길,residential,,,,yes,,16,37.5125916,127.0439418,37.5137584,127.047928
417652009,학동로64길,residential,,,,no,,8,37.514631,127.0458828,37.5178233,127.0451228
417652014,봉은사로64길,residential,,,,no,,3,37.511323,127.0474267,37.510612,127.0481189
417652016,봉은사로59길,residential,,,,no,,3,37.5137325,127.0448461,37.5139131,127.0454614
417652020,봉은사로57길,residential,,,,no,,3,37.5135539,127.0442619,37.5137325,127.0448461
417652024,학동로56길,residential,,,,no,,2,37.5139007,127.0434601,37.5153383,127.0429472
417652027,선릉로126길,service,,,,no,,2,37.5154177,127.0433155,37.5140025,127.0438513
417666563,학동로46길,residential,,,,no,,2,37.5161943,127.0382482,37.5155781,127.0385423
417666565,언주로130길,residential,,,,no,,7,37.5155781,127.0385423,37.5145819,127.0352875
417666567,언주로126길,residential,,,,no,,6,37.514358,127.0391222,37.5132653,127.0354875
417666571,선릉로127길,residential,,,,no,,9,37.5149375,127.0388632,37.5157422,127.0418337
417666574,선릉로121길,residential,,,,no,,3,37.5137726,127.0408742,37.5141549,127.0424315
417666576,학동로50길,residential,,,,no,,3,37.5160508,127.0400152,37.5166773,127.0398275
417666579,선릉로129길,service,,,,no,,2,37.5161523,127.0403658,37.5154648,127.0406279
417666581,선릉로129길,service,,,,no,,2,37.5162794,127.0407533,37.5155556,127.041022
417666584,선릉로129길,service,,,,no,,2,37.5163897,127.0411513,37.5156509,127.0414113
417666585,선릉로127길,service,,,,no,,2,37.5154895,127.0407451,37.5148331,127.0409807
417666586,선릉로127길,residential,,,,no,,2,37.5156035,127.0412182,37.5149599,127.0414775
417666587,선릉로125길,service,,,,no,,2,37.5149599,127.0414775,37.5140138,127.0418569
417666588,학동로50길,residential,,,,no,,6,37.5133163,127.0410457,37.5160508,127.0400152
417666590,봉은사로49길,residential,,,,no,,2,37.5105939,127.0420664,37.5098561,127.0423938
417666591,봉은사로49길,service,,,,no,,3,37.5118806,127.0412296,37.5114219,127.0417435
417666592,봉은사로49길,service,,,,no,,3,37.5112341,127.041826,37.5110265,127.0408722
417666595,언주로114길,residential,,,,no,,5,37.5096894,127.0376169,37.5103027,127.0396675
417666596,봉은사로43길,service,,,,no,,3,37.5096439,127.0399246,37.5100785,127.0403315
417666597,언주로116길,residential,,,,yes,,7,37.5113301,127.0392843,37.5105081,127.0368235
417666599,학동로44길,residential,,,,no,,11,37.5122781,127.0373058,37.5158441,127.0371204
417666602,선릉로119길,residential,,,,yes,,7,37.5129538,127.0394357,37.5136882,127.0426222
417666603,학동로42길,residential,,,,no,,5,37.5135344,127.036382,37.5155719,127.0362333
417666604,이름없음,residential,,,,no,,13,37.5131599,127.0382278,37.5110007,127.0381359
417666605,학동로42길,residential,,,,no,,2,37.5118862,127.0368779,37.5121406,127.0377032
417666607,학동로42길,residential,,,,no,,2,37.5117014,127.0370286,37.5119633,127.0379112
417666608,학동로42길,residential,,,,no,,2,37.5115144,127.0371794,37.5117375,127.0378403
417666609,학동로42길,residential,,,,no,,2,37.511325,127.0373229,37.5115093,127.0378962
417666610,학동로42길,residential,,,,no,,2,37.5111685,127.0374659,37.5113226,127.0379881
417666611,학동로42길,residential,,,,no,,2,37.5113226,127.0379881,37.5115402,127.0387527
417671883,언주로129길,residential,,,,no,,6,37.5145819,127.0352875,37.5140053,127.0333741
417671885,봉은사로37길,residential,,,,no,,6,37.5115673,127.0349259,37.5093478,127.0365105
417671887,논현로120길,residential,,,,no,,2,37.5107757,127.0322631,37.5110356,127.0331208
417671889,봉은사로29길,residential,,,,no,,6,37.5108993,127.0331835,37.5086784,127.0342133
417671891,언주로125길,residential,,,,no,,4,37.5128081,127.0339465,37.5132234,127.035328
417671893,언주로115길,residential,,,,no,,4,37.509832,127.035128,37.5104493,127.0366672
417671895,논현로116길,residential,,,,no,,3,37.5092092,127.0330001,37.509832,127.035128
417671898,언주로113길,residential,,,,yes,,3,37.5090452,127.0354943,37.5093478,127.0365105
417671900,봉은사로29길,residential,,,,no,,4,37.5085399,127.0357428,37.5082323,127.0346951
417671902,학동로34길,residential,,,,no,,7,37.5147428,127.033003,37.5128081,127.0339465
417671904,논현로128길,residential,,,,no,,6,37.5140053,127.0333741,37.5132732,127.03103
417671906,이름없음,residential,,,,no,,4,37.5120657,127.0334707,37.5112435,127.0338413
417671908,논현로118길,residential,,,,no,,5,37.5111172,127.0338974,37.5101623,127.0343457
417671910,이름없음,residential,,,,no,,2,37.5112435,127.0338413,37.5111172,127.0338974
417718799,논현로135길,residential,,,,no,,2,37.5152814,127.0261461,37.5146956,127.0264243
417718801,학동로19길,residential,,,,no,,2,37.5155755,127.0265066,37.5148269,127.0268683
417718804,학동로19길,residential,,,,no,,2,37.5148602,127.0269882,37.5138166,127.0274816
417718807,학동로19길,service,,,,no,,3,37.513775,127.0273425,37.513108,127.0276556
417718810,학동로21길,service,,,,no,,4,37.5139501,127.0279476,37.5132525,127.0281106
417718812,학동로23길,residential,,,,no,,12,37.5132729,127.0286512,37.5169727,127.0261097
417723807,학동로24길,service,,,,no,,2,37.5113844,127.0294527,37.5126373,127.0288937
417723808,강남대로128길,residential,,,,yes,,14,37.512515,127.0282224,37.5104457,127.0247233
417723810,봉은사로1길,residential,,,,no,,5,37.5063749,127.024524,37.5047669,127.0252984
417723812,학동로6길,residential,,,,no,,12,37.5089118,127.026939,37.5116831,127.0234891
417723814,학동로28길,residential,,,,no,,4,37.5111843,127.0311102,37.5130429,127.0302641
417723815,봉은사로25길,residential,,,,no,,7,37.5111878,127.0302554,37.5089562,127.0321669
417723817,논현로119길,residential,,,,no,,3,37.5087713,127.0298695,37.5080224,127.0291922
417723818,봉은사로21길,residential,,,,no,,10,37.509878,127.0279398,37.5083266,127.030626
417723820,논현로123길,residential,,,,no,,6,37.509878,127.0279398,37.5113844,127.0294527
417723826,논현로111길,residential,,,,no,,6,37.5066762,127.0294824,37.5076041,127.032556
417726311,논현로111길,residential,,,,no,,2,37.5077664,127.0313025,37.5072952,127.0315189
417726312,논현로111길,residential,,,,no,,2,37.5078762,127.0316506,37.5073951,127.0318531
